               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051576,             0.12291,            0.014856,             0.84121,             0.72869,             0.82173,             0.63943,              0.0297,            0.070789,           0.0074103,            0.070003,           0.0033331,           0.0033331
                   1,            0.037296,            0.093321,           0.0098879,             0.83955,             0.84732,             0.89574,             0.72607,            0.026999,            0.065671,           0.0063079,            0.039343,           0.0060064,           0.0060064
                   2,            0.033178,            0.083219,           0.0090014,             0.84108,             0.84598,             0.90166,             0.68651,            0.029906,             0.08041,           0.0061075,           0.0080226,           0.0080198,           0.0080198
                   3,            0.030648,            0.076048,           0.0085772,             0.86409,             0.88081,              0.9291,              0.7734,            0.025174,            0.062281,           0.0055128,             0.00703,             0.00703,             0.00703
                   4,            0.029906,            0.073091,           0.0084133,             0.88107,             0.90156,             0.94234,             0.82973,            0.021893,            0.050675,           0.0051649,             0.00703,             0.00703,             0.00703
                   5,            0.029118,            0.070105,           0.0082719,             0.88963,             0.91311,             0.94807,             0.85034,            0.020474,            0.046454,           0.0050178,             0.00604,             0.00604,             0.00604
                   6,            0.028509,            0.067768,           0.0081674,             0.89407,             0.92049,             0.95193,             0.85956,            0.019993,            0.044841,           0.0049471,             0.00505,             0.00505,             0.00505
                   7,            0.027915,            0.065528,           0.0080734,             0.89687,              0.9252,             0.95582,             0.86662,             0.01973,            0.043828,           0.0048969,             0.00406,             0.00406,             0.00406
                   8,            0.027328,            0.063248,           0.0079688,             0.90021,             0.92799,             0.95985,             0.87315,            0.019531,            0.042815,            0.004849,             0.00307,             0.00307,             0.00307
                   9,            0.026669,            0.060658,           0.0078646,             0.90216,             0.92998,             0.96259,             0.87842,            0.019236,            0.040891,            0.004777,             0.00208,             0.00208,             0.00208
